id,pollingfirm,year,month,day,party_a,party_b,party_c,party_d,party_e,party_f,party_i,party_k,party_o,party_p,party_v,party_oe,party_aa,n,source
514,Voxmeter,2013,12,15,22.6,8.3,4.1,,,4.6,5.7,,15.2,,28,10.6,,1034,
515,YouGov,2013,12,16,20.5,7,5,,,4.1,4.7,0.5,20,,25.9,12.3,,,
516,Rambøll,2013,12,16,20,7,5,,,4.1,4.7,,20,,25.9,12.3,,1527,
517,Megafon,2013,12,20,22.5,8.4,3.5,,,3.7,5.2,,18.5,,27.7,9.5,,1200,
518,Voxmeter,2013,12,22,22.9,8.6,4.2,,,4.3,5,,15.3,,28.6,10.4,,1027,
519,Gallup,2013,12,29,22.7,7.7,4.7,,,4.6,5,,15.6,,27.5,10.8,,1541,
520,Gallup,2014,1,9,23.8,8.4,3.6,,,3.9,4.8,,16.6,,27.1,11.1,,1579,
521,Greens,2014,1,9,21.8,8.4,4.2,,,4.2,4,,18.3,,26.1,12,,1199,
522,Rambøll,2014,1,12,19.1,7.2,4.7,,,3.7,5.5,,19.9,,27.6,11.8,,1538,
523,Voxmeter,2014,1,12,22.1,9.5,4.7,,,3.8,5.2,,16.6,,28.3,9.2,,1027,
524,YouGov,2014,1,13,19.1,7.2,4.7,,,3.7,5.5,0.6,19.9,,27.6,11.8,,,
525,Wilke,2014,1,13,21.6,8,5,,,4.5,4.4,,18.7,,25.4,11.5,,1331,
526,Voxmeter,2014,1,19,21.5,9.1,4.5,,,4.3,5.4,,16.2,,28.5,9.5,,1035,
527,Megafon,2014,1,22,21.7,6.6,4.6,,,5.6,5.2,,16.1,,27.5,11.6,,1011,
528,Greens,2014,1,24,20.1,6.7,4.2,,,3.9,5.1,,18,,28.4,12.2,,1202,
529,Voxmeter,2014,1,26,21.1,8.6,4.1,,,4.4,4.7,,16.7,,28.8,10.8,,1041,
530,Rambøll,2014,1,27,19.9,7.4,4.8,,,3.6,5.4,,20.6,,26.8,10.7,,1464,
531,YouGov,2014,1,29,19.9,7.4,4.8,,,3.6,5.4,0.8,20.6,,26.8,10.7,,,
532,Rambøll,2014,1,30,15.6,7.9,4.4,,,4.4,7.8,,19.9,,26.1,13.1,,717,
533,YouGov,2014,1,30,15.6,7.9,4.4,,,4.4,7.8,0.9,19.9,,26.1,13.1,,,
534,Megafon,2014,1,31,18.8,7.4,4.5,,,4.5,5.1,,20.1,,26.7,12.2,,1052,
535,Voxmeter,2014,2,2,19.9,8.9,4.6,,,3.1,5.2,,17.1,,28.7,11.6,,1021,
536,Epinion,2014,2,6,20.1,8.6,4.1,,,3.8,5.2,,18.8,,27.6,11.4,,1730,
537,Voxmeter,2014,2,9,20.1,9.1,4.7,,,2.4,5.3,,16.7,,29.4,11.7,,1034,
538,Rambøll,2014,2,10,17,7.9,4.4,,,3.6,6.5,,21,,26.7,12,,1514,
539,YouGov,2014,2,12,17,7.9,4.4,,,3.6,6.5,0.9,21,,26.7,12,,,
540,Voxmeter,2014,2,16,20.9,9.4,4.4,,,3.1,5.1,,17.6,,28.3,10.8,,1032,
541,Wilke,2014,2,16,18.3,9.1,4.1,,,4.2,6.7,,19.5,,25.5,11.8,,989,
542,Voxmeter,2014,2,23,20.5,9.9,4.5,,,3.8,4.9,,18.1,,27.6,10.1,,1025,
543,Rambøll,2014,2,23,18.3,8.4,4.5,,,4.1,5.6,,23.8,,24.3,10.8,,1549,
544,YouGov,2014,2,25,18.3,8.4,4.5,,,4.1,5.6,0.2,23.8,,24.3,10.8,,,
545,Greens,2014,2,27,19.3,10.4,4.4,,,3.7,4.5,,19.4,,26.8,10.3,,1189,
546,Megafon,2014,2,27,17.6,9.4,3.9,,,4.9,4.9,,21,,24.7,13.1,,1136,
547,Voxmeter,2014,3,2,19.8,10.2,4.9,,,4.4,4.7,,17.9,,27.1,10.3,,1030,
548,Gallup,2014,3,3,20.5,9.1,4.2,,,3.1,4.9,,19.4,,26.8,11.6,,1528,
549,Voxmeter,2014,3,9,19.2,9.7,4.4,,,4.7,4.5,,18.4,,27.7,10.8,,1048,
550,Rambøll,2014,3,10,17.6,6.6,4.6,,,3.4,4.9,,24.1,,27.2,11.1,,1654,
551,YouGov,2014,3,11,17.6,6.6,4.6,,,3.4,4.9,0.6,24.1,,27.2,11.1,,,
552,Epinion,2014,3,13,19.7,9,4.1,,,3.9,5,,19.9,,27,11.1,,2060,
553,Wilke,2014,3,16,18.2,10.6,4.3,,,5.9,4.6,,21.1,,24.8,9.9,,1192,
554,Voxmeter,2014,3,16,19.1,9.5,4.6,,,4.9,4.4,,18.5,,28.1,10.5,,1019,
555,Rambøll,2014,3,23,16.2,8.5,4.9,,,3.9,5.6,,23.9,,25.6,10.8,,2478,
556,Voxmeter,2014,3,23,19.3,9.7,4.2,,,4.8,4.2,,18.6,,27.9,10.6,,1041,
557,YouGov,2014,3,25,16.2,8.5,4.9,,,3.9,5.6,0.7,23.9,,25.6,10.8,,,
558,Megafon,2014,3,26,19.5,7.8,4.3,,,5.1,5.2,,20.9,,25.4,11.2,,1003,
559,Gallup,2014,3,28,19.2,8.6,3.7,,,4.8,3.5,,21.8,,26.6,10.9,,1564,
560,Voxmeter,2014,3,30,20.1,9.1,4,,,4.6,4.5,,17.9,,28.4,10.3,,1032,
561,Greens,2014,4,3,18,10.4,4.3,,,3.8,4.7,,18.3,,27.8,11.9,,1225,
562,Voxmeter,2014,4,6,19.7,8.6,4.1,,,4.5,4.7,,18.1,,28.9,10.7,,1021,
563,YouGov,2014,4,8,16.5,8.5,4.3,,,5.2,4.9,1,24.1,,24.7,10.6,,,
564,Gallup,2014,4,10,20.2,8,4.8,,,4.3,5.1,,20.9,,25,11,,1527,
565,Voxmeter,2014,4,13,19.3,8.8,3.9,,,4.7,5.2,,18.2,,28.3,11.1,,1028,
566,Wilke,2014,4,14,21.5,8.5,4.7,,,5.5,6.9,,18.7,,22.7,10.7,,1185,
567,Rambøll,2014,4,15,16.5,8.5,4.3,,,5.2,4.9,,24.1,,24.7,10.6,,1358,
568,Voxmeter,2014,4,20,19.4,8.4,3.1,,,5.2,5.1,,18.2,,28.7,11.1,,1028,
569,Epinion,2014,4,21,19.6,8.7,4.1,,,4.4,4.8,,20.3,,26.9,10.7,,2709,
570,Megafon,2014,4,22,20.3,8.3,3.2,,,4,5.6,,22,,26.4,9.7,,1092,
571,Voxmeter,2014,4,27,20,8.7,3.1,,,4.8,5.5,,18.8,,28.1,10.5,,1014,
572,Rambøll,2014,4,27,17.1,8.9,4.6,,,4.5,5.6,,22.8,,25.7,10.6,,1520,
573,YouGov,2014,4,29,17.1,8.9,4.6,,,4.5,5.6,0.2,22.8,,25.7,10.6,,,
574,Voxmeter,2014,5,4,21.1,8.6,3.6,,,5.2,5.3,,17.9,,27.8,9.6,,1014,
575,Gallup,2014,5,8,20.3,8,4.7,,,5.9,4.8,,21.7,,23.9,9.8,,1512,
576,Voxmeter,2014,5,11,21.9,8.1,3.9,,,5.8,5.5,,17.9,,27.5,8.7,,1031,
577,Rambøll,2014,5,12,17,7.6,3.7,,,5.9,5.1,,24.1,,25.7,10.3,,1589,
578,YouGov,2014,5,13,17,7.6,3.7,,,5.9,5.1,0.6,24.1,,25.7,10.3,,,
579,Wilke,2014,5,18,18.9,9.5,4.6,,,4.6,6.3,,18.9,,24,10.7,,1071,
580,Voxmeter,2014,5,19,22.2,8.3,4.1,,,5.7,5.8,,18.2,,25.9,9.1,,1032,
581,Megafon,2014,5,20,22.3,9.1,4.4,,,5.1,5.9,,20,,23,8.8,,1001,
582,Epinion,2014,5,22,21.3,8.3,4.5,,,5.6,5.6,,20.1,,24,10.2,,2658,
583,Voxmeter,2014,5,25,22.6,9.4,4.8,,,5.4,5.8,,19.2,,22.1,10.2,,1037,
584,Greens,2014,5,25,15.7,7.8,4,,,5,6.8,,23.1,,26.8,10.1,,1235,
585,Rambøll,2014,5,25,17.6,8.7,4.2,,,4.8,6.7,,23.9,,21.3,11.9,,1564,
586,YouGov,2014,5,27,17.6,8.7,4.2,,,4.8,6.7,0.9,23.9,,21.3,11.9,,,
587,Megafon,2014,5,28,22.9,8.9,5.2,,,6.3,5.8,,21.3,,19.3,9.8,,1077,
588,Megafon,2014,6,2,25.1,8.7,5.4,,,6.9,6,,21.9,,14.5,10.1,,1161,
589,Gallup,2014,6,5,22.4,8.7,5.5,,,7.9,4.3,,20.9,,21.9,7.1,,1644,
590,Rambøll,2014,6,8,19.2,7.7,5.8,,,5.1,5.8,,24.1,,21.1,10.8,,1540,
591,Greens,2014,6,8,23.9,9,4.9,,,6.7,4.4,,21.1,,19.8,9.2,,1252,
592,Voxmeter,2014,6,8,23.2,9.1,5.2,,,6.5,5.1,,20.8,,20,9.4,,1036,
593,Megafon,2014,6,9,24.7,9.2,5.1,,,5.6,4.4,,20.8,,19.6,9.9,,1135,
594,YouGov,2014,6,9,19.2,7.7,5.8,,,5.1,5.8,0.3,24.1,,21.2,10.8,,,
595,Epinion,2014,6,12,22.3,8,5,,,7.5,4.7,,22.1,,21.6,8.3,,1975,
596,Voxmeter,2014,6,15,22.9,10.3,4.7,,,7.1,5.2,,18.9,,21.1,8.8,,1025,
597,Wilke,2014,6,17,23.1,9.2,5.8,,,6.5,5.5,,19.7,,21.7,8.1,,1056,
598,Voxmeter,2014,6,22,22.8,10.1,4.7,,,6.8,5.5,,18.7,,22.1,8.4,,1022,
599,Rambøll,2014,6,22,20.1,8.1,6.1,,,4.5,6.5,,24.5,,20.2,9.6,,1530,
600,YouGov,2014,6,24,20.1,8.1,6.1,,,4.5,6.5,0.4,24.5,,20.2,9.6,,,
601,Voxmeter,2014,6,26,22.7,9.1,5.1,,,5.6,5.6,,20.1,,21.2,9.7,,1035,
602,Megafon,2014,6,26,22.4,8.9,5.3,,,6,4.8,,21.4,,20.7,9.9,,1028,
603,Epinion,2014,6,28,21.4,7.3,5.8,,,7.2,5.4,,23.8,,20.1,8.7,,1760,
604,Voxmeter,2014,6,29,23.7,9.6,4.5,,,6.9,5.1,,17.9,,23.2,8.6,,1012,
605,Wilke,2014,7,6,21.6,9,4.8,,,6,5.3,,20.4,,22.7,9.6,,1090,
606,Rambøll,2014,7,6,20.2,7.9,5.6,,,4.5,6.3,,24.3,,20.9,9.6,,1432,
607,YouGov,2014,7,7,20.2,7.9,5.6,,,4.5,6.3,0.8,24.3,,20.9,9.6,,,
608,Gallup,2014,7,11,21.6,8.7,5.2,,,5.5,4.6,,21.5,,21.3,10.4,,1528,
609,Greens,2014,7,25,22,9.1,4.8,,,5.7,6.6,,20.9,,21.6,8.1,,1298,
610,Gallup,2014,8,7,21.3,7.7,5.2,,,6.5,5.1,,19.4,,23.8,10.1,,1525,
611,Voxmeter,2014,8,10,21.4,8.7,5.5,,,7.7,4.7,,20.3,,23.5,7.8,,1039,
612,Wilke,2014,8,10,22.2,9.6,5.3,,,6.9,5.2,,18.3,,22.8,8.8,,938,
613,YouGov,2014,8,11,19.2,7.2,6.5,,,5.9,4.8,0.8,22.7,,23,9.8,,,
614,Epinion,2014,8,13,20.7,7.9,5.8,,,6.4,5.2,,20.3,,23.6,9.6,,1763,
615,Voxmeter,2014,8,17,20.8,8.6,6.2,,,7.5,5.1,,19.7,,23.1,8.3,,1025,
616,Voxmeter,2014,8,24,21.4,8.8,5.6,,,7.1,4.8,,19.5,,22.7,9.1,,1035,
617,Rambøll,2014,8,24,20.5,7.1,5.7,,,5.6,5.7,,22.5,,21.1,10.8,,1586,
618,YouGov,2014,8,25,20.5,7.1,5.7,,,5.6,5.7,0.8,22.5,,21.1,10.8,,,
619,Greens,2014,8,27,20.5,8.2,5.9,,,7,5.9,,17.5,,22.8,10.4,,1222,
620,Megafon,2014,8,27,20.9,7.8,5.3,,,7.1,5.8,,20,,23.4,8.9,,1007,
621,Voxmeter,2014,8,31,22.1,8.9,5.3,,,7.3,4.6,,18.9,,23.4,8.8,,1028,
622,Wilke,2014,9,7,22.4,8.7,5,,,7.2,4.5,,18.9,,24.4,7.9,,962,
623,Rambøll,2014,9,7,20,7.3,5.8,,,5.6,5.6,,20.5,,23.5,11.4,,1570,
624,YouGov,2014,9,7,20,7.3,5.8,,,5.6,5.6,0.3,20.5,,23.5,11.4,,,
625,Voxmeter,2014,9,7,22.4,7.4,4.6,,,7.8,4.7,,18.1,,25.3,8.9,,1035,
626,Gallup,2014,9,11,21.7,9.1,5.2,,,6.2,6.2,,18.5,,22.5,9.8,,1533,
627,Voxmeter,2014,9,14,22.7,7.2,4.8,,,7.2,5.3,,17.7,,25.9,8.3,,1028,
628,Rambøll,2014,9,15,19.2,7.2,6.5,,,5.9,4.8,,22.7,,23,9.8,,1505,
629,Epinion,2014,9,17,21.5,7.6,5,,,6.7,5.5,,19.4,,24.5,9.3,,1594,
630,Voxmeter,2014,9,21,22.1,7.8,5.4,,,6.9,5.9,,17.1,,26.5,7.7,,1049,
631,YouGov,2014,9,21,19,7.5,4.9,,,5.5,6,,22.3,,23.2,10.9,,1590,
632,Megafon,2014,9,25,20.9,6.7,5.3,,,6,4.9,,21.5,,23.6,10,,1050,
633,Voxmeter,2014,9,28,21.7,8.4,6.1,,,6.4,4.7,,17.7,,25.8,8.4,,1019,
634,Greens,2014,10,1,20.1,8.2,5.2,,,6.2,3.6,,22.1,,23.5,10.5,,1158,
635,Voxmeter,2014,10,5,22.5,7.9,5.5,,,7,4.9,,18.3,,25.2,7.8,,1016,
636,YouGov,2014,10,5,19.1,6.6,5,,,6.3,6.5,,22.7,,22.4,10.5,,1380,
637,Wilke,2014,10,5,22.9,8.3,5.4,,,6.1,5.2,,18.2,,24.3,9,,974,
638,Gallup,2014,10,9,21.6,7.8,5.5,,,5.2,4.5,,18.7,,25.3,10.1,,1520,
639,Voxmeter,2014,10,12,23.3,8.1,4.8,,,6.9,4.2,,17.7,,25.5,8.6,,1024,
640,Epinion,2014,10,14,21.2,7.6,4.8,,,6.4,5.5,,19.3,,25.1,9.4,,1500,
641,Voxmeter,2014,10,19,22.4,8.2,5.4,,,7.3,3.9,,18.3,,25,8.8,,1029,
642,YouGov,2014,10,19,20.6,6.9,4.5,,,6.3,6.2,,20.4,,23.4,10.6,,1390,
643,Voxmeter,2014,10,26,22.9,7.9,4.8,,,7.9,4.1,,17.8,,25,8.6,,1044,
644,Greens,2014,10,29,20.5,7.2,4.6,,,6.6,5.9,,18.9,,23.7,11.7,,1139,
645,Megafon,2014,10,29,20.9,8.5,5.1,,,6.1,5.8,,20,,22.9,9.3,,1005,
646,Voxmeter,2014,11,2,22.3,7.4,4.4,,,7.3,4.7,,18.1,,25.6,9.4,,1023,
647,YouGov,2014,11,4,20.9,7.9,5.2,,,6.3,6,0.6,21.7,,22.3,9.1,,,
648,Gallup,2014,11,6,20.4,8.4,4.8,,,6.6,4.5,,20.8,,23.9,9.5,,1591,
649,Wilke,2014,11,9,24.1,7,5,,,6.9,5.9,,19,,23.6,7.8,,966,
650,Voxmeter,2014,11,9,21.6,7.5,3.9,,,7.6,5,,17.6,,26.4,9.4,,1028,
651,YouGov,2014,11,16,21,6.1,4.2,,,6.2,7.7,,21.2,,23.2,9.7,,1591,
652,Voxmeter,2014,11,16,21.3,7.9,3.8,,,7.7,5.4,,17.1,,26.7,9.2,,1028,
653,Voxmeter,2014,11,23,21.4,8,4.1,,,7.5,5,,17.6,,26.4,9.1,,1023,
654,Greens,2014,11,26,20.3,8.3,4.9,,,6.3,5.5,,18.5,,24.4,11,,1165,
655,Megafon,2014,11,27,19.8,8.3,6.2,,,6.5,5.9,,21.2,,20.9,9.4,,1095,
656,YouGov,2014,11,30,17.8,6.3,5.3,,,6.8,6.8,,23.3,,22.8,10.2,,1390,
657,Voxmeter,2014,11,30,21.1,8.2,4.3,,,7.1,5.7,,17.9,,25.4,9.2,,1035,
658,Voxmeter,2014,12,7,21.4,7.8,4.3,,,7.6,5.8,,18.3,,24.5,9.1,,1032,
659,Wilke,2014,12,7,22.3,7.7,5.6,,,7.4,6.4,,18.1,,22.9,8.9,,945,
660,Gallup,2014,12,12,21.4,7,4.6,,,6.2,5.2,,21.4,,22.4,10.7,,1561,
661,Voxmeter,2014,12,14,22.2,7.4,3.4,,,7.9,5.1,,18.8,,25.3,8.6,,1051,
662,YouGov,2014,12,16,20.5,7.5,4.4,,,5.7,6.7,0.7,22.4,,22.3,9.7,,,
663,Voxmeter,2014,12,21,21.5,7.9,3.2,,,7.1,5.4,,19.1,,25.4,9.1,,1016,
664,Epinion,2014,12,27,21,7.5,4.4,,,7.4,5.6,,19.8,,24,9.7,,1619,
665,Greens,2015,1,7,22.4,7.5,4.6,,,5,5.4,0.7,19.2,,25.1,8.8,,1181,
666,Gallup,2015,1,9,22.8,6.7,4.5,,,6.7,4.9,0.8,20.3,,23,9.5,,1522,
667,YouGov,2015,1,11,22.4,7,4.1,,,5.6,6.3,0.7,23.1,,23.2,7.5,,1000,
668,Voxmeter,2015,1,11,22.7,7.7,4.1,,,6.9,4.9,0.7,19.9,,24,8.3,,1023,
669,Wilke,2015,1,11,22.7,7,4.8,,,8.3,5.1,1.2,19.8,,22.7,8.4,,968,
670,Norstat,2015,1,18,23.7,7.4,3.9,,,5.3,4.6,0.9,22.1,,22.7,8.5,,1721,
671,Voxmeter,2015,1,18,22.2,8.3,4.4,,,7.4,4.2,0.5,20.7,,23.4,8.6,,1000,
672,Voxmeter,2015,1,25,22.8,8,4.8,,,6.7,3.8,0.3,21.5,,23,8.8,,1018,
673,Epinion,2015,1,27,22.9,7.1,4.4,,,6.7,5,0.6,21.2,,23.6,8.5,,1682,
674,YouGov,2015,1,27,21.4,6.9,4.1,,,6.2,7.3,1.2,21.9,,21.7,9.3,,1000,
675,Greens,2015,1,28,21.7,6.9,3.5,,,7.1,6.5,0.6,20,,23.1,9.8,,1248,
676,Megafon,2015,1,28,20.8,6.5,5.3,,,6.6,4.3,0.9,20.7,,24.8,8.8,,1003,
677,Voxmeter,2015,2,1,22.9,7.4,4.6,,,6.6,4.3,0.4,20.6,,23.8,8.9,,1028,
678,Gallup,2015,2,5,24.2,6.6,4.3,,,6.2,5.6,1,20,,22.7,8.6,,1513,
679,YouGov,2015,2,8,18.7,6.3,4.4,,,6.4,7.1,0.9,23.1,,23.7,9.3,,1000,
680,Wilke,2015,2,8,25.6,6.7,4.7,,,6.7,5.6,1.3,19,,23,7.4,,1006,
681,Voxmeter,2015,2,8,23.6,7.8,4.8,,,6.5,5.5,0.4,19.7,,22.6,8.7,,1000,
682,Norstat,2015,2,15,21,6.2,3,,,6,6,0.9,23.6,,24.5,7.8,,1394,
683,Voxmeter,2015,2,15,23.8,7.5,4.5,,,6.8,6.2,0.4,19.1,,22.6,8.8,,1000,
684,Gallup,2015,2,19,23.2,7.1,5.5,,,6.3,5.9,0.5,21.2,,21.9,8.4,,1465,
685,Megafon,2015,2,19,21.6,6.7,5,,,6.5,6.4,0.9,16.2,,23,10,,1119,
686,YouGov,2015,2,22,22.2,7.6,5.3,,,5.5,5.9,0.4,23,,21.8,8.2,,1397,
687,Voxmeter,2015,2,22,23.7,7.7,4.2,,,7.1,6.1,0.3,18.3,,23.5,8.8,,1046,
688,Epinion,2015,2,23,22,6.3,4.9,,,6.3,5.7,0.7,21.7,,23.7,8.9,,1735,
689,Greens,2015,2,26,20.9,7.9,4.9,,,6.7,5.4,0.5,21.7,,21.4,8.4,1.7,1173,
690,Voxmeter,2015,3,1,23.1,7.8,5.3,,,6.9,4.8,0.3,19.6,,22.3,8.5,1.2,1004,
691,Gallup,2015,3,5,23.1,6.9,5.3,,,6,5.8,1,20.1,,21.1,8.4,1.8,1479,
692,Voxmeter,2015,3,8,23.4,7.5,4.8,,,6.4,4.7,0.4,18.7,,23.2,9.1,1.5,1019,
693,YouGov,2015,3,9,21.5,6.8,5.2,,,5.6,7.1,1.1,22.6,,19.8,8.1,2.2,1420,
694,Norstat,2015,3,15,23.7,5.9,5,,,6.6,5.9,0.3,20.4,,23,7.1,1.4,1400,
695,Voxmeter,2015,3,15,24.3,7.1,4.6,,,6.6,5.4,0.5,17.6,,23.4,8.4,1.8,1016,
696,Voxmeter,2015,3,22,22.9,7.8,4.7,,,7.1,5.7,0.6,17.1,,23.9,8.5,1.4,1024,
697,YouGov,2015,3,23,19.8,6.7,5,,,5.4,6.5,0.8,22.4,,21.5,9.5,2.5,1364,
698,Epinion,2015,3,23,23.9,6.7,5,,,6.8,5.5,0.5,18.7,,22.3,8.7,1.8,1685,
699,Megafon,2015,3,25,22.6,7.9,4.4,,,5.4,5.3,0.9,19.1,,24.2,7.9,1.8,1001,
700,Greens,2015,3,26,24.4,5.9,4,,,7,6.5,0.7,17.2,,23.3,8.3,2.6,1223,
701,Voxmeter,2015,3,29,23.4,7.3,4.6,,,7.2,5,0.3,17.7,,23.8,8.7,1.5,1018,
702,Voxmeter,2015,4,5,24.1,7.1,3.8,,,7.6,5.6,0.3,17.1,,24.5,8,1.7,1000,
703,Gallup,2015,4,9,24.2,7.6,4.9,,,5.5,5,1,20.2,,20.7,9.3,1.6,1525,
704,Voxmeter,2015,4,12,24.8,6.6,4.1,,,7,4.9,0.4,17.7,,25.1,7.5,1.5,1022,
705,Norstat,2015,4,12,25.5,5.7,4.2,,,6.1,5.3,0.7,21.1,,20.9,8.6,1,1386,
706,YouGov,2015,4,13,23.3,6.8,4,,,5.2,6.7,0.9,21.9,,19.8,9.5,1.9,1415,
707,Wilke,2015,4,14,24.3,7.1,4,,,6.1,6.8,0.4,19.3,,22.6,7.9,1.5,951,
708,Voxmeter,2015,4,19,25.5,6.4,2.9,,,6.5,5.7,0.7,18.2,,24.2,8.1,1.5,1008,
709,Epinion,2015,4,22,24.3,6.6,4.2,,,6.9,5.9,0.6,19.4,,22.2,8.4,1.6,1769,
710,YouGov,2015,4,26,23.5,6.3,4.6,,,5.5,7.6,0.5,20.1,,21.3,8.6,2.1,1387,
711,Voxmeter,2015,4,26,25.1,5.8,3.6,,,6.7,6.6,0.7,18.3,,23.7,7.9,1.2,1020,
712,Greens,2015,4,29,25.5,6.6,4.8,,,6.2,6,0.6,17.8,,21.9,9.1,1.2,1232,
713,Megafon,2015,4,30,24.6,6.1,4.8,,,6,6.3,0.8,20.8,,19.5,8.7,2,1374,
714,Voxmeter,2015,5,3,24.2,5.8,3.7,,,5.9,7,0.8,19.1,,23.5,8.6,1.1,1023,
715,Gallup,2015,5,7,23.6,5.8,4,,,6.6,5.9,0.6,19.7,,23.4,8.6,1.5,1514,
716,Wilke,2015,5,10,23.5,6.4,3.5,,,6.8,8.3,0.8,17.1,,22.5,8.3,2.7,945,
717,Norstat,2015,5,10,25.4,4.9,4.2,,,5.6,5.9,0.4,21.1,,21.9,8.1,1.7,1720,
718,Voxmeter,2015,5,10,23.6,5.9,4.1,,,6.2,7.4,0.7,18.6,,24.2,8.1,0.9,1022,
719,YouGov,2015,5,11,25.2,6.9,3.9,,,5.3,7.5,0.5,20.3,,20.5,8,1.8,1615,
720,Epinion,2015,5,12,25.3,5.9,3.9,,,6.5,6.3,0.5,18.9,,22.5,8.6,1.4,4646,
721,Voxmeter,2015,5,17,24.4,5.6,3.9,,,6.1,7.1,0.9,17.9,,24.7,7.5,1.6,1047,
722,Voxmeter,2015,5,24,24.7,5.8,3.2,,,6.2,7.8,1.1,18.4,,23.8,7.7,1.2,1029,
723,YouGov,2015,5,25,26.1,5.3,4,,,5.3,8,0.7,19.7,,19.6,8.3,2.9,1356,
724,Megafon,2015,5,25,25,6.7,4,,,6.6,7.4,0.7,19.3,,20.7,6.9,2.3,1048,
725,Greens,2015,5,26,22.8,6.6,4.6,,,6.8,7.4,0.9,17.4,,21.2,9.5,2.1,1280,
726,Greens,2015,5,27,24.8,6.1,4.6,,,6,6.1,0.3,20.1,,19.5,10.2,2.3,1113,
727,Gallup,2015,5,27,24.5,5.6,4.3,,,6,6.5,0.4,18.7,,21.3,10.2,2.5,1293,
728,Voxmeter,2015,5,27,25.1,6.1,3.3,,,6.3,8,0.5,18.3,,22.5,8.4,1.5,1010,
729,Megafon,2015,5,27,24.1,6.3,4.6,,,7.1,7.6,1,19.6,,19.6,7.8,2,1002,
730,Gallup,2015,5,27,24.4,6.1,5,,,6,6.3,0.8,18.6,,20.3,9.8,2.7,1937,
731,Epinion,2015,5,27,25.3,5.5,4,,,5.9,6.4,0.5,20.2,,22.1,8.3,1.7,1416,
732,Voxmeter,2015,5,28,25.5,6.2,3.5,,,6.3,8.2,0.6,18.3,,21.4,8.1,1.6,1050,
733,Epinion,2015,5,28,25.4,5.5,4.1,,,6.1,6.3,0.3,20.5,,20.8,9.2,1.9,1834,
734,Greens,2015,5,29,24.3,6,4.5,,,6.4,5.8,0.5,20.2,,19.8,10,2.5,1280,
735,Gallup,2015,5,29,24.6,5.9,4.7,,,5.6,7,0.6,18.3,,21,9.2,3,1780,
736,Wilke,2015,5,29,25.3,7,3.6,,,5.9,6.9,0.7,18.2,,21.6,8.7,2.1,1052,
737,Epinion,2015,5,29,26.6,5,3.8,,,6.1,6.4,0.4,19.6,,21,8.6,2.5,2209,
738,Voxmeter,2015,5,29,26.6,6.1,3.4,,,6.9,8.1,0.5,18.4,,20.1,8,1.8,1047,
739,Voxmeter,2015,5,30,26.8,5.6,2.6,,,7.2,7.9,0.4,17,,21.2,8.7,2.2,1056,
740,Greens,2015,5,30,24.5,5.5,3.8,,,6.8,6.2,0.9,19.6,,20.1,10.2,2.4,1280,
741,Megafon,2015,5,30,25.2,6.1,4.6,,,6.9,6.8,0.5,19.8,,19.7,7.8,2.5,1001,
742,Wilke,2015,5,30,25.3,7,3.6,,,5.9,6.9,0.7,18.2,,21.6,8.7,2.1,1000,
743,Epinion,2015,5,30,26.4,5.1,3.9,,,5.8,6.4,0.3,19.4,,20.8,8.8,3.2,2733,
744,Gallup,2015,5,31,24.6,6.4,4.3,,,5.6,7.1,0.3,18.1,,21.6,8.9,2.9,1854,
745,Voxmeter,2015,5,31,26.8,5.6,2.6,,,7.2,7.9,0.4,17,,21.2,8.7,2.2,1056,
746,Megafon,2015,5,31,25,5.8,4.2,,,6.3,6.5,0.6,19.4,,20.9,8.4,2.8,1001,
747,Epinion,2015,5,31,26.4,4.9,3.8,,,5.6,6.7,0.3,19.1,,20.5,9.1,3.7,1609,
748,Wilke,2015,5,31,24.2,6.8,4.1,,,6.9,7.2,0.7,19,,20.4,7.9,2.8,1007,
749,Greens,2015,5,31,24.3,5,4.1,,,7,7,0.7,18.8,,20.4,10,2.7,1096,
750,Megafon,2015,6,1,25,6.7,3.4,,,5.2,7.2,1.4,18.3,,21.3,7.7,3.6,1064,
751,Voxmeter,2015,6,1,25.9,5.2,2.5,,,7.2,7.9,0.6,17.2,,21.7,8.8,2.9,1050,
752,Gallup,2015,6,1,24.7,6,4,,,5,6.4,0.5,18.8,,21.5,9.7,3.1,2076,
753,Wilke,2015,6,1,25.1,7.4,3.7,,,6.5,7,0.9,17.9,,19.3,8.2,4,1003,
754,Greens,2015,6,1,24.8,4.2,3.8,,,7.2,7.7,0.7,18,,20.6,10.2,2.8,1278,
755,YouGov,2015,6,1,24.2,6.2,4.3,,,5.5,6.8,0.5,20.3,,19.9,9.2,3.1,1600,
756,Epinion,2015,6,1,25.8,4.8,3.7,,,5.5,7.4,0.4,18.9,,20,9.5,4,1679,
757,Greens,2015,6,2,26.4,4,3.5,,,6.6,8.3,0.3,18.5,,20.5,9.2,2.7,1056,
758,Wilke,2015,6,2,25,7.4,3.6,,,6.7,6.7,0.8,18.4,,19.3,8.2,3.9,1001,
759,Voxmeter,2015,6,2,25.6,5.3,2.6,,,6.9,7.7,0.8,17.1,,21.5,9,3.4,1041,
760,Gallup,2015,6,2,25.1,6,3.6,,,4.7,5.8,0.5,19,,22.4,9.6,3,2091,
